"","name","found","family"
"523","coccolobasp","TRUE","Polygonaceae"
"524","lauraceaesp3","TRUE","Lauraceae"
"525","trichiliasp1","TRUE","Meliaceae"
"526","bignoniaceaesp16","TRUE","Bignoniaceae"
"527","phytelephas","TRUE","Arecaceae"
"528","rauvolfiapraecox","TRUE","Apocynaceae"
"529","ingaspround","TRUE","Fabaceae"
"530","melothriasp2","TRUE","Cucurbitaceae"
"531","capparismacrophylla","TRUE","Capparaceae"
"532","chrysophyllumsp2","TRUE","Sapotaceae"
"533","caricasp","TRUE","Caricaceae"
"534","mollinediasp1","TRUE","Monimiaceae"
"535","mollinediasp2","TRUE","Monimiaceae"
"536","annonasp1","TRUE","Annonaceae"
"537","psychotriasp1","TRUE","Rubiaceae"
"538","machaeriumrf11440","TRUE","Fabaceae"
"539","hippocrataceasp","TRUE","Celastraceae"
"540","himatanthussucuuba","TRUE","Apocynaceae"
"541","bignoniaceaesp23","TRUE","Bignoniaceae"
"542","siolmatraamazonica","TRUE","Cucurbitaceae"
"543","vataireasp","TRUE","Fabaceae"
"544","rheediamacrophylla","TRUE","Clusiaceae"
"545","myrtaceaespbocamanu","TRUE","Myrtaceae"
"546","protiumtenuifolium","TRUE","Burseraceae"
"547","syngoniumyurimaguensis","TRUE","Araceae"
"548","buchenaviagrandis","TRUE","Combretaceae"
"549","salaciasp","TRUE","Celastraceae"
"550","guatteriadielsiana","TRUE","Annonaceae"
"551","stylocerasbrokawii","TRUE","Buxaceae"
